Arroz Mediterraneo,Cereal, camaron-pulpo-ostras-pollo-cerdo-jamos-tortilla de huevo-lechuga batavia-verduras,Personal,10000,,ACTIVA
Arroz Mediterraneo,Cereal, camaron-pulpo-ostras-pollo-cerdo-jamos-tortilla de huevo-lechuga batavia-verduras,Familiar,20000,,ACTIVA
Arroz Colombiano,Cereal, lomo biche-pollo-cabano-chicharron-maduro-verduras,Familiar,16000,ACTIVA
Arroz Colombiano,Cereal, lomo biche-pollo-cabano-chicharron-maduro-verduras,Personal,8000,ACTIVA
Arroz Vegetariano,Cereal, tortilla de huevo-lechug batavia-verduras,Familiar,12000,ACTIVA
Arroz Vegetariano,Cereal, tortilla de huevo-lechug batavia-verduras,Personal,6000,ACTIVA
Arroz del Puerto,Cereal,camaron-pollo-verduras,Personal,7000,ACTIVA
Arroz del Puerto,Cereal,camaron-pollo-verduras,Familiar,14000,ACTIVA
Arroz Llanero,Cereal,lomo de cerdo ahumado-lomo bivhe-costilla-pollo-verduras,Familiar,16000,ACTIVA
Arroz Llanero,Cereal,lomo de cerdo ahumado-lomo bivhe-costilla-pollo-verduras,Personal,8000,ACTIVA
Arroz Valluno,Cereal,chuleta-tortilla de huevo-verduras-papas a la francesa,Personal,7000,ACTIVA
Arroz Valluno,Cereal,chuleta-tortilla de huevo-verduras-papas a la francesa,Familiar,14000,ACTIVA
Arroz Oriental,Cereal,pollo-cerdo-jamon-camaron-raices-verduras,Personal,8000,ACTIVA
Arroz Oriental,Cereal,pollo-cerdo-jamon-camaron-raices-verduras,Familiar,16000,ACTIVA
Arroz a la Barbacoa,Cereal,costilla de cerdo-chorizo-lomo biche-pollo-verduras,Familiar,16000,ACTIVA
Arroz a la Barbacoa,Cereal,costilla de cerdo-chorizo-lomo biche-pollo-verduras,Personal,8000,ACTIVA
Lumpias,Fritos,Personal,6000,ACTIVA
Papas a la francesa,Fritos,Personal,4000,ACTIVA
CHOP SUEY,Sopa,Familiar,16000,HABILITADO
CHOP SUEY,Sopa,Personal,8000,HABILITADO
Desayunos,Preferencia del cliente,Personal,7000,ACTIVA
Refrigerios,Preferencia del cliente,Personal,6000,ACTIVA
